Date,Zero Rate,Forward Rate
09/01/2004,0,1.79
12/01/2004,1.810767583,2.187853122
03/01/2005,2.010372636,2.413409899
06/01/2005,2.154958179,2.675163769
09/01/2005,2.293117291,2.924133506
12/01/2005,2.424972664,3.213170915
03/01/2006,2.560106255,3.428682334
06/01/2006,2.690038957,3.604512436
09/01/2006,2.809488567,3.776125974
12/01/2006,2.920431732,3.936845537
03/01/2007,3.024319753,4.088520501
06/01/2007,3.125169313,4.233607412
09/04/2007,3.224100641,4.365749524
12/03/2007,3.313293824,4.487085082
03/03/2008,3.39942044,4.603850764
06/02/2008,3.481819566,4.712822002
09/02/2008,3.561606143,4.815376525
12/01/2008,3.636449616,4.910885196
03/02/2009,3.709116213,5.002799626
06/01/2009,3.778942462,5.088353606
09/01/2009,3.846800162,5.166640059
12/01/2009,3.911249556,5.229592834
03/01/2010,3.972084313,5.277658093
06/01/2010,4.030953385,5.308858923
09/01/2010,4.086189226,5.328531319
12/01/2010,4.137243679,5.359603955
03/01/2011,4.185078595,5.409472304
06/01/2011,4.232197266,5.476773595
09/01/2011,4.278346357,5.554994366
12/01/2011,4.323541223,5.620910003
03/01/2012,4.36792216,5.669182683
06/01/2012,4.411443665,5.700273463
09/04/2012,4.454476651,5.712080399
12/03/2012,4.493147403,5.7220791
03/01/2013,4.52907003,5.733444499
06/03/2013,4.565556329,5.742993996
09/03/2013,4.599539155,5.755701009
12/02/2013,4.631339852,5.782541754
03/03/2014,4.662523202,5.827302577
06/02/2014,4.693236009,5.888340128
09/02/2014,4.724274061,5.961389261
12/01/2014,4.754917862,6.026286581
03/02/2015,4.785986918,6.080199179
06/01/2015,4.816846011,6.12075673
09/01/2015,4.847555881,6.150180436
12/01/2015,4.877240977,6.176379364
03/01/2016,4.906206247,6.20149431
06/01/2016,4.934767116,6.224440565
09/01/2016,4.962609693,6.244923148
12/01/2016,4.989449876,6.263268535
03/01/2017,5.015314124,6.281401893
06/01/2017,5.041055822,6.296663735
09/01/2017,5.066095035,6.309321267
12/01/2017,5.09017328,6.31989481
03/01/2018,5.113315186,6.330240745
06/01/2018,5.136282838,6.339372089
09/04/2018,5.159270877,6.342551674
12/03/2018,5.180367885,6.345833951
03/01/2019,5.200356733,6.348874228
06/03/2019,5.221011667,6.34719887
09/03/2019,5.240531577,6.344173581
12/02/2019,5.2589637,6.340168359
03/02/2020,5.276940183,6.335119309
06/01/2020,5.294259977,6.328016615
09/01/2020,5.311109651,6.318786038
12/01/2020,5.327129506,6.308136358
03/01/2021,5.342346786,6.297552846
06/01/2021,5.357264071,6.284193155
09/01/2021,5.371541764,6.268817961
12/01/2021,5.385040251,6.252093555
03/01/2022,5.39778474,6.235372198
06/01/2022,5.410194504,6.215827558
09/01/2022,5.421983956,6.194314625
12/01/2022,5.433039149,6.171522552
03/01/2023,5.443383739,6.148658455
06/01/2023,5.453356357,6.122932487
09/01/2023,5.46272405,6.095289676
12/01/2023,5.471398136,6.066784373
03/01/2024,5.479486788,6.03775507
06/03/2024,5.487230523,6.004458646
09/03/2024,5.494210631,5.971116367
12/02/2024,5.500474017,5.939628855
03/03/2025,5.506269542,5.909412957
06/02/2025,5.511559652,5.880188654
09/02/2025,5.516428266,5.851648813
12/01/2025,5.520755953,5.825338277
03/02/2026,5.524724476,5.800366917
06/01/2026,5.52831242,5.776375852
09/01/2026,5.531581191,5.753112737
12/01/2026,5.534486439,5.73140592
03/01/2027,5.537063797,5.712247885
06/01/2027,5.539418669,5.693287356
09/01/2027,5.541514435,5.675308299
12/01/2027,5.543354947,5.659184301
03/01/2028,5.544985529,5.644730426
06/01/2028,5.546441337,5.631082838
09/01/2028,5.547723428,5.618396089
12/01/2028,5.548839577,5.607145572
03/01/2029,5.549812361,5.598443673
06/01/2029,5.550689365,5.591266955
09/04/2029,5.551488339,5.582311425
12/03/2029,5.552159933,5.575829658
03/01/2030,5.552743449,5.571005621
06/03/2030,5.553292591,5.564148283
09/03/2030,5.553761431,5.558169813
12/02/2030,5.554159553,5.553050172
03/03/2031,5.554506171,5.548616311
06/02/2031,5.554801312,5.544127645
09/02/2031,5.555052062,5.539536903
12/01/2031,5.5552554,5.535779176
03/01/2032,5.555423052,5.532727455
06/01/2032,5.555557946,5.529583682
09/01/2032,5.555662139,5.526383453
12/01/2032,5.555738877,5.523556733
03/01/2033,5.555792658,5.522326148
06/01/2033,5.55582851,5.520578375
09/01/2033,5.555848562,5.518767697
12/01/2033,5.555856222,5.517314915
03/01/2034,5.555855051,5.517463195
06/01/2034,5.555848002,5.517111349
09/01/2034,5.555838118,5.516631954
12/01/2034,5.55582802,5.516211243
